snapshot_date,subject_id,subject_type,data_level,data_srs_stage,pct_correct,total_attempts_est,total_incorrect,meaning_error_rate,reading_error_rate,data_meaning_current_streak,data_reading_current_streak,data_meaning_max_streak,data_reading_max_streak,age_days_since_unlocked,days_since_assignment_update,has_reading,component_subject_count,amalgamation_subject_count,visually_similar_count,parts_of_speech_count
2026-04-21,16,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.10380658418984,198.38930996346062,0,0,131,0,0
2026-04-21,6,radical,1,9,92.0,26.0,2.0,0.14285714285714285,0.0,5.0,12.0,7.0,12.0,447.10380652085644,198.38930996346062,0,0,5,0,0
2026-04-21,8762,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.1038064633796,198.38930996346062,0,0,19,0,0
2026-04-21,22,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.1038064039352,198.38930996346062,0,0,82,0,0
2026-04-21,14,radical,1,9,95.0,21.0,1.0,0.09090909090909091,0.0,9.0,10.0,9.0,10.0,447.1038063483681,134.55381651942128,0,0,26,0,0
2026-04-21,11,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.1038062904977,198.38930996346062,0,0,12,0,0
2026-04-21,4,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.10380623476857,198.38930996346062,0,0,6,0,0
2026-04-21,20,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.10380617997686,198.38930996346062,0,0,29,0,0
2026-04-21,10,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.1038061272917,198.38930996346062,0,0,10,0,0
2026-04-21,21,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.1038060724074,198.38930996346062,0,0,8,0,0
2026-04-21,5,radical,1,9,95.0,19.0,1.0,0.1,0.0,9.0,9.0,9.0,9.0,447.10380601953705,198.38930996346062,0,0,28,0,0
2026-04-21,15,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.10380596653937,198.38930996346062,0,0,46,0,0
2026-04-21,13,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.1038059147107,198.38930996346062,0,0,30,0,0
2026-04-21,18,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.1038058628472,198.38930996346062,0,0,29,0,0
2026-04-21,9,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.10380580717595,198.38930996346062,0,0,14,0,0
2026-04-21,1,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.10380574177077,198.38930996346062,0,0,67,0,0
2026-04-21,8,radical,1,9,96.0,23.0,1.0,0.08333333333333333,0.0,5.0,11.0,6.0,11.0,447.10380568659724,198.38930996346062,0,0,22,0,0
2026-04-21,8761,radical,1,9,95.0,19.0,1.0,0.1,0.0,9.0,9.0,9.0,9.0,447.10380563182866,198.38930996346062,0,0,18,0,0
2026-04-21,23,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.10380557901624,198.38930996346062,0,0,114,0,0
2026-04-21,25,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.1038055252546,198.38930996346062,0,0,18,0,0
2026-04-21,3,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.10380545369213,198.38930996346062,0,0,41,0,0
2026-04-21,7,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.1038053957755,198.38930996346062,0,0,10,0,0
2026-04-21,19,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.1038053429745,22.546315977766206,0,0,45,0,0
2026-04-21,12,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.10380529173614,198.38930996346062,0,0,3,0,0
2026-04-21,2,radical,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,447.10380524182875,198.38930996346062,0,0,23,0,0
2026-04-21,446,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.799196413912,198.38930996346062,1,1,4,0,0
2026-04-21,454,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.79916002421294,198.38930996346062,1,1,15,0,0
2026-04-21,441,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.79912548952547,198.38930996346062,1,1,25,0,0
2026-04-21,440,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.799032979618,198.38930996346062,1,1,78,0,0
2026-04-21,449,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.7990329035416,198.38930996346062,1,2,16,0,0
2026-04-21,450,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.79903283518513,98.65177499538194,1,2,26,0,0
2026-04-21,451,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.79903276060185,165.01621929604167,1,2,28,0,0
2026-04-21,444,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.7988696007407,138.62232546630787,1,1,95,1,0
2026-04-21,455,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.7987580432176,198.38930996346062,1,1,20,1,0
2026-04-21,457,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.79861669510416,198.38930996346062,1,1,8,0,0
2026-04-21,447,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.7983426911342,138.62222208953705,1,1,27,3,0
2026-04-21,448,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.7982923780671,198.38930996346062,1,1,16,0,0
2026-04-21,456,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.79824598057866,198.38930996346062,1,1,11,0,0
2026-04-21,442,kanji,1,9,96.0,23.0,1.0,0.0,0.08333333333333333,11.0,7.0,11.0,7.0,442.7981111257291,138.62310554447916,1,1,4,2,0
2026-04-21,453,kanji,1,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,442.797974059757,138.6175895597338,1,1,71,2,0
