review_stat_id,object,url,data_updated_at,data_created_at,subject_id,data_subject_type,data_meaning_correct,data_meaning_incorrect,data_meaning_max_streak,data_meaning_current_streak,data_reading_correct,data_reading_incorrect,data_reading_max_streak,data_reading_current_streak,data_percentage_correct,data_hidden
459912505,review_statistic,https://api.wanikani.com/v2/review_statistics/459912505,2025-09-20 02:13:25.790771+00:00,2025-01-29 21:15:46.277364+00:00,6,radical,12,2,7,5,12,0,12,12,92,False
459912529,review_statistic,https://api.wanikani.com/v2/review_statistics/459912529,2025-07-24 12:26:38.024711+00:00,2025-01-29 21:15:55.783480+00:00,1,radical,8,0,8,8,8,0,8,8,100,False
459912539,review_statistic,https://api.wanikani.com/v2/review_statistics/459912539,2025-07-24 12:18:54.375435+00:00,2025-01-29 21:15:59.407285+00:00,2,radical,8,0,8,8,8,0,8,8,100,False
459912554,review_statistic,https://api.wanikani.com/v2/review_statistics/459912554,2025-07-24 12:23:37.754525+00:00,2025-01-29 21:16:05.144416+00:00,5,radical,9,1,9,9,9,0,9,9,95,False
459912564,review_statistic,https://api.wanikani.com/v2/review_statistics/459912564,2025-07-24 12:23:02.344422+00:00,2025-01-29 21:16:08.503578+00:00,3,radical,8,0,8,8,8,0,8,8,100,False
459912752,review_statistic,https://api.wanikani.com/v2/review_statistics/459912752,2025-09-20 01:56:18.078741+00:00,2025-01-29 21:17:41.382613+00:00,8,radical,11,1,6,5,11,0,11,11,96,False
459912756,review_statistic,https://api.wanikani.com/v2/review_statistics/459912756,2025-07-24 12:15:57.349715+00:00,2025-01-29 21:17:44.790891+00:00,7,radical,8,0,8,8,8,0,8,8,100,False
459912769,review_statistic,https://api.wanikani.com/v2/review_statistics/459912769,2025-07-24 12:23:56.197321+00:00,2025-01-29 21:17:48.640192+00:00,12,radical,8,0,8,8,8,0,8,8,100,False
459912783,review_statistic,https://api.wanikani.com/v2/review_statistics/459912783,2025-07-24 12:25:08.179124+00:00,2025-01-29 21:17:53.743361+00:00,9,radical,8,0,8,8,8,0,8,8,100,False
459912788,review_statistic,https://api.wanikani.com/v2/review_statistics/459912788,2025-07-24 12:25:55.093766+00:00,2025-01-29 21:17:56.743964+00:00,18,radical,8,0,8,8,8,0,8,8,100,False
459912926,review_statistic,https://api.wanikani.com/v2/review_statistics/459912926,2025-07-24 12:19:42.708125+00:00,2025-01-29 21:18:49.035945+00:00,16,radical,8,0,8,8,8,0,8,8,100,False
459912935,review_statistic,https://api.wanikani.com/v2/review_statistics/459912935,2025-12-08 10:35:11.353937+00:00,2025-01-29 21:18:50.923976+00:00,14,radical,10,1,9,9,10,0,10,10,95,False
459912938,review_statistic,https://api.wanikani.com/v2/review_statistics/459912938,2025-07-24 12:28:14.806021+00:00,2025-01-29 21:18:53.248134+00:00,13,radical,8,0,8,8,8,0,8,8,100,False
