subject_id,subject_type,url,data_updated_at,data_created_at,data_level,data_slug,data_characters,data_lesson_position,data_spaced_repetition_system_id,data_hidden_at,has_reading,has_context_sentences,component_subject_count,amalgamation_subject_count,visually_similar_count,parts_of_speech_count
1,radical,https://api.wanikani.com/v2/subjects/1,2026-04-04 20:17:45.612577+00:00,2012-02-27 18:08:16+00:00,1,ground,一,0,2,,0,0,0,67,0,0
2,radical,https://api.wanikani.com/v2/subjects/2,2026-03-23 02:54:10.694388+00:00,2012-02-27 18:11:07+00:00,1,fins,ハ,2,2,,0,0,0,23,0,0
3,radical,https://api.wanikani.com/v2/subjects/3,2026-02-04 07:18:03.592910+00:00,2012-02-27 18:12:15+00:00,1,drop,丶,3,2,,0,0,0,41,0,0
4,radical,https://api.wanikani.com/v2/subjects/4,2026-01-30 23:35:23.672471+00:00,2012-02-27 18:13:40+00:00,1,seven,七,14,2,,0,0,0,6,0,0
5,radical,https://api.wanikani.com/v2/subjects/5,2026-02-27 03:26:37.001449+00:00,2012-02-27 18:14:26+00:00,1,slide,丿,4,2,,0,0,0,28,0,0
6,radical,https://api.wanikani.com/v2/subjects/6,2026-02-04 19:24:51.658554+00:00,2012-02-27 18:15:18+00:00,1,barb,亅,1,2,,0,0,0,5,0,0
7,radical,https://api.wanikani.com/v2/subjects/7,2026-04-08 06:30:43.680591+00:00,2012-02-27 18:16:05+00:00,1,two,二,5,2,,0,0,0,10,0,0
8,radical,https://api.wanikani.com/v2/subjects/8,2026-01-16 18:51:44.236861+00:00,2012-02-27 18:16:26+00:00,1,lid,亠,6,2,,0,0,0,22,0,0
9,radical,https://api.wanikani.com/v2/subjects/9,2026-04-08 06:30:43.680591+00:00,2012-02-27 18:17:34+00:00,1,person,人,8,2,,0,0,0,14,0,0
10,radical,https://api.wanikani.com/v2/subjects/10,2026-03-31 18:20:46.600461+00:00,2012-02-27 18:19:09+00:00,1,toe,ト,23,2,,0,0,0,10,0,0
11,radical,https://api.wanikani.com/v2/subjects/11,2026-01-12 15:28:07.250648+00:00,2012-02-27 18:20:08+00:00,1,nine,九,20,2,,0,0,0,12,0,0
12,radical,https://api.wanikani.com/v2/subjects/12,2025-10-01 06:09:46.379353+00:00,2012-02-27 18:24:26+00:00,1,enter,入,9,2,,0,0,0,3,0,0
13,radical,https://api.wanikani.com/v2/subjects/13,2026-02-16 09:49:50.723034+00:00,2012-02-27 18:39:24+00:00,1,power,力,10,2,,0,0,0,30,0,0
